CND, Cindicator, 912.9410, 0.00816169
LEND, EthLend, 500.2250, 0.00319144
ADA, Cardano, 250.6420, 0.00502287
TNT, Tierion, 216.7830, 0.00218300
XRP, Ripple, 150.7450, 0.01106619
BAT, Basic Attention Token, 145.85400000, 0.00344945
ENJ, EnjinCoin, 100.7350, 0.00156744
SNM, SONM, 99.9000, 0.00156743
LINK, ChainLink, 49.9500, 0.00228521
VEN, VeChain, 31.9180, 0.01231588
